title,content,published_year,genre,author_id,description
The Great Adventure,An epic journey across the mountains,2020,Fiction,c08d3389-4c20-4d4b-8508-7f5b283f71a8,Adventure story for all ages
Mystery of the Night,A thrilling mystery in the dark city,2019,Mystery,c08d3389-4c20-4d4b-8508-7f5b283f71a8,Detective story with twists
Science and Beyond,Exploring scientific discoveries,2021,Science Fiction,c08d3389-4c20-4d4b-8508-7f5b283f71a8,Educational and futuristic
Romance in Paris,Love story set in Paris,2018,Romance,c08d3389-4c20-4d4b-8508-7f5b283f71a8,A heartwarming romantic tale
The Lost World,Adventure in an unknown land,2017,Fiction,c08d3389-4c20-4d4b-8508-7f5b283f71a8,Classic adventure
Thriller Nights,Dark thriller that keeps you awake,2022,Thriller,c08d3389-4c20-4d4b-8508-7f5b283f71a8,Page-turner thriller
Fantasy Realm,A journey in a magical land,2019,Fantasy,c08d3389-4c20-4d4b-8508-7f5b283f71a8,Fantasy adventure for young adults
Biography of Leonardo,Life of Leonardo da Vinci,2016,Biography,c08d3389-4c20-4d4b-8508-7f5b283f71a8,Inspiring biography
Secrets of the Ocean,Exploring the depths of the ocean,2020,Non-Fiction,c08d3389-4c20-4d4b-8508-7f5b283f71a8,Educational marine exploration
Mystery on the Train,A murder mystery on a train,2015,Mystery,c08d3389-4c20-4d4b-8508-7f5b283f71a8,Classic whodunit
